,zeit,sensorid,messwert
0,00:00:00.300,127,0.0196533
1,00:00:00.350,107,0.0427246
2,00:00:00.390,128,-0.988281
3,00:00:00.450,132,179.0
4,00:00:00.500,115,106.5
5,00:00:00.530,117,-0.9992
6,00:00:00.560,145,-0.0318
7,00:00:00.580,118,-0.0198
8,00:00:00.600,119,0.0018
9,00:00:00.630,120,-0.0024
10,00:00:00.650,121,0.0013
11,00:00:00.101,133,3.46875
12,00:00:00.106,134,266.0
13,00:00:00.110,126,-0.0615234
14,00:00:00.152,114,356.0
15,00:00:00.158,108,-0.953125
16,00:00:00.178,129,-0.00567627
17,00:00:00.183,145,-0.0326
18,00:00:00.185,118,-0.019
19,00:00:00.187,119,0.0006
20,00:00:00.190,120,0.0003
21,00:00:00.192,121,0.0007
22,00:00:00.199,111,0.000865936
23,00:00:00.228,130,0.000907898
24,00:00:00.233,131,0.00174713
25,00:00:00.238,117,-0.9898
26,00:00:00.253,112,0.000644684
27,00:00:00.268,109,0.00170135
28,00:00:00.297,110,8.58307e-05
29,00:00:00.302,113,268.0
30,00:00:00.317,107,0.0393066
31,00:00:00.322,115,108.5
32,00:00:00.326,127,-0.00552368
33,00:00:00.331,145,-0.0326
34,00:00:00.333,118,-0.0186
35,00:00:00.336,119,-0.0007
36,00:00:00.338,120,-0.0006
37,00:00:00.340,121,-0.0003
38,00:00:00.374,128,-0.984375
39,00:00:00.379,132,179.0
40,00:00:00.389,133,3.40625
41,00:00:00.422,134,264.0
42,00:00:00.430,117,-0.9923
43,00:00:00.440,129,0.000724792
44,00:00:00.457,114,356.0
45,00:00:00.462,108,-0.953125
46,00:00:00.467,111,0.00238037
47,00:00:00.471,145,-0.0333
48,00:00:00.474,118,-0.0229
49,00:00:00.476,119,0.0006
50,00:00:00.478,120,0.0006
51,00:00:00.481,121,0.0019
52,00:00:00.491,130,0.000602722
53,00:00:00.496,131,-0.00402832
54,00:00:00.588,127,-0.0432129
55,00:00:00.595,109,0.000972748
56,00:00:00.601,110,0.000694275
57,00:00:00.610,113,268.0
58,00:00:00.638,128,-0.988281
59,00:00:00.642,132,179.0
