,zeit,sensorid,messwert
0,00:00:00.180,95,-0.1288
1,00:00:00.210,96,0.986
2,00:00:00.230,97,-0.003
3,00:00:00.250,98,0.004
4,00:00:00.280,99,0.0021
5,00:00:00.300,100,353.599
6,00:00:00.330,101,357.743
7,00:00:00.350,102,131.988
8,00:00:00.420,115,107.0
9,00:00:00.470,128,-0.988281
10,00:00:00.510,133,3.57812
11,00:00:00.560,132,179.0
12,00:00:00.730,117,-0.9634
13,00:00:00.770,145,-0.2933
14,00:00:00.800,118,-0.0284
15,00:00:00.830,119,0.0031
16,00:00:00.850,120,0.0046
17,00:00:00.870,121,-0.0034
18,00:00:00.930,126,-0.121582
19,00:00:00.132,109,0.006073
20,00:00:00.142,130,0.000534058
21,00:00:00.188,134,260.0
22,00:00:00.200,95,-0.1177
23,00:00:00.202,96,1.0038
24,00:00:00.205,97,-0.0005
25,00:00:00.208,98,-0.0015
26,00:00:00.210,99,0.0009
27,00:00:00.213,100,353.621
28,00:00:00.215,101,357.72
29,00:00:00.218,102,131.75
30,00:00:00.232,129,0.00393677
31,00:00:00.236,127,-0.00866699
32,00:00:00.241,131,0.0125732
33,00:00:00.251,133,3.625
34,00:00:00.255,112,-0.00280762
35,00:00:00.261,107,0.789062
36,00:00:00.265,110,-0.0010376
37,00:00:00.268,145,-0.2424
38,00:00:00.273,114,352.0
39,00:00:00.279,108,-0.988281
40,00:00:00.282,118,-0.06
41,00:00:00.284,119,0.008
42,00:00:00.286,120,0.0034
43,00:00:00.289,121,-0.0076
44,00:00:00.295,132,179.0
45,00:00:00.298,117,-0.9743
46,00:00:00.304,126,-0.0603027
47,00:00:00.310,95,-0.0948
48,00:00:00.312,96,0.9975
49,00:00:00.314,97,0.0007
50,00:00:00.316,98,-0.0006
51,00:00:00.319,99,0.003
52,00:00:00.321,100,353.637
53,00:00:00.323,101,357.725
54,00:00:00.326,102,131.578
55,00:00:00.339,113,270.0
56,00:00:00.350,130,-0.00312805
57,00:00:00.359,128,-1.0
58,00:00:00.385,111,0.00415039
59,00:00:00.390,134,262.0
60,00:00:00.394,129,0.00273132
61,00:00:00.399,127,0.0559082
62,00:00:00.403,115,102.5
63,00:00:00.407,145,-0.4164
64,00:00:00.409,118,-0.0188
65,00:00:00.412,119,-0.0003
66,00:00:00.415,120,-0.0021
67,00:00:00.418,121,-0.0021
68,00:00:00.439,109,-0.0050354
69,00:00:00.453,112,-0.00585938
70,00:00:00.460,117,-0.9859
71,00:00:00.469,95,-0.0991
72,00:00:00.471,96,0.9877
73,00:00:00.474,97,-0.0027
74,00:00:00.476,98,-0.0003
75,00:00:00.478,99,0.0006
76,00:00:00.481,100,353.679
77,00:00:00.483,101,357.692
78,00:00:00.486,102,131.408
79,00:00:00.493,133,3.57812
80,00:00:00.500,107,-0.34375
81,00:00:00.505,110,-0.00195312
82,00:00:00.509,132,179.0
83,00:00:00.514,126,-0.0444336
84,00:00:00.519,114,354.0
85,00:00:00.525,108,-0.984375
86,00:00:00.539,131,-0.00418091
87,00:00:00.549,111,-9.87053e-05
88,00:00:00.591,134,262.0
89,00:00:00.596,117,-0.9148
90,00:00:00.599,145,-0.0282
91,00:00:00.602,118,-0.0154
92,00:00:00.605,119,0.0019
93,00:00:00.607,120,-0.0021
94,00:00:00.609,121,0.0006
95,00:00:00.638,115,101.5
96,00:00:00.642,129,-0.0088501
97,00:00:00.647,127,0.0055542
98,00:00:00.653,95,-0.1028
99,00:00:00.656,96,0.9926
100,00:00:00.658,97,-0.0011
101,00:00:00.660,98,0.0003
102,00:00:00.663,99,-0.0006
103,00:00:00.665,100,353.734
104,00:00:00.667,101,357.726
105,00:00:00.669,102,131.537
106,00:00:00.690,109,0.0247803
107,00:00:00.733,130,-0.001297
108,00:00:00.737,128,-0.996094
109,00:00:00.741,133,3.60938
110,00:00:00.746,113,270.0
111,00:00:00.751,132,179.0
112,00:00:00.773,117,-1.0473
113,00:00:00.787,112,-0.00158691
114,00:00:00.791,126,-0.00369263
115,00:00:00.796,107,-0.617188
116,00:00:00.802,110,0.000177383
117,00:00:00.811,131,-0.00540161
118,00:00:00.814,145,-0.0523
119,00:00:00.817,118,-0.027
120,00:00:00.820,119,0.0016
121,00:00:00.822,120,-0.0012
122,00:00:00.824,121,0.0009
123,00:00:00.847,134,262.0
124,00:00:00.851,129,-0.00153351
125,00:00:00.855,127,0.010437
126,00:00:00.861,114,356.0
