,zeit,sensorid,messwert
0,00:00:00,95,-0.1278
1,00:00:00.200,96,0.986
2,00:00:00.400,97,-0.002
3,00:00:00.700,98,-0.0001
4,00:00:00.900,99,-0.0001
5,00:00:00.110,100,352.221
6,00:00:00.140,101,357.876
7,00:00:00.160,102,134.479
8,00:00:00.220,131,-0.00466919
9,00:00:00.270,129,-0.00130463
10,00:00:00.400,107,-0.194336
11,00:00:00.510,111,0.000221252
12,00:00:00.560,132,178.0
13,00:00:00.630,117,-1.134
14,00:00:00.700,145,-0.0166
15,00:00:00.770,118,-0.0121
16,00:00:00.790,119,-0.0076
17,00:00:00.830,120,-0.0001
18,00:00:00.850,121,0.0003
19,00:00:00.920,114,356.0
20,00:00:00.105,95,-0.1291
21,00:00:00.112,96,0.987
22,00:00:00.115,97,-0.0027
23,00:00:00.117,98,0.0002
24,00:00:00.119,99,-0.001
25,00:00:00.122,100,352.323
26,00:00:00.124,101,357.819
27,00:00:00.127,102,134.48
28,00:00:00.152,112,0.000385284
29,00:00:00.158,134,264.0
30,00:00:00.164,133,3.5
31,00:00:00.169,108,-0.953125
32,00:00:00.174,130,-0.000659943
33,00:00:00.179,109,0.00267029
34,00:00:00.210,115,97.5
35,00:00:00.215,113,268.0
36,00:00:00.224,110,0.000682831
37,00:00:00.229,127,0.0229492
38,00:00:00.246,117,-0.9994
39,00:00:00.250,145,-0.02
40,00:00:00.252,118,-0.02
41,00:00:00.254,119,0.0
42,00:00:00.257,120,-0.0013
43,00:00:00.260,121,-0.0012
44,00:00:00.267,126,-0.0551758
45,00:00:00.334,95,-0.5321
46,00:00:00.336,96,1.0847
47,00:00:00.339,97,-0.1511
48,00:00:00.341,98,-0.0835
49,00:00:00.344,99,0.2607
50,00:00:00.346,100,354.939
51,00:00:00.348,101,357.881
52,00:00:00.354,131,-0.00830078
53,00:00:00.372,111,-0.00494385
54,00:00:00.375,102,135.512
55,00:00:00.391,129,-0.000694275
56,00:00:00.396,117,-0.9871
57,00:00:00.411,132,179.0
58,00:00:00.416,114,356.0
59,00:00:00.421,112,7.96318e-05
60,00:00:00.426,108,-0.953125
61,00:00:00.434,145,-0.02
62,00:00:00.437,118,-0.0171
63,00:00:00.440,119,0.0
64,00:00:00.442,120,-0.0019
65,00:00:00.445,121,0.0012
66,00:00:00.460,128,-0.984375
67,00:00:00.466,109,0.000972748
68,00:00:00.472,107,0.0422363
69,00:00:00.479,95,-0.3693
70,00:00:00.482,96,1.3535
71,00:00:00.485,97,0.1568
72,00:00:00.487,98,-0.0288
73,00:00:00.489,99,-0.092
74,00:00:00.492,100,348.455
75,00:00:00.494,101,358.053
76,00:00:00.497,102,136.135
77,00:00:00.536,117,-1.0493
78,00:00:00.540,145,-0.0306
79,00:00:00.542,118,-0.0306
80,00:00:00.545,119,-0.0003
81,00:00:00.547,120,0.0045
82,00:00:00.550,121,-0.0003
83,00:00:00.556,134,264.0
84,00:00:00.561,133,3.4375
85,00:00:00.567,130,-5.126e-05
86,00:00:00.577,110,-0.000534058
87,00:00:00.606,127,0.0101929
88,00:00:00.612,115,97.5
89,00:00:00.630,95,-0.3558
90,00:00:00.633,96,1.4093
91,00:00:00.636,97,-0.0048
92,00:00:00.639,98,0.0011
93,00:00:00.641,99,-0.0041
94,00:00:00.644,100,348.837
95,00:00:00.646,101,357.949
96,00:00:00.648,102,135.779
97,00:00:00.659,113,268.0
98,00:00:00.673,126,-0.0664062
99,00:00:00.678,131,0.060791
100,00:00:00.682,129,-0.00221252
101,00:00:00.687,111,-0.001297
102,00:00:00.692,114,356.0
103,00:00:00.718,117,-0.959
104,00:00:00.721,145,-0.0408
105,00:00:00.724,118,-0.0205
106,00:00:00.726,119,-0.004
107,00:00:00.728,120,0.0008
108,00:00:00.731,121,-0.0003
109,00:00:00.747,132,179.0
110,00:00:00.752,128,-1.03906
111,00:00:00.757,112,0.00069046
112,00:00:00.762,108,-0.953125
113,00:00:00.768,109,0.00364685
114,00:00:00.773,95,-0.6426
115,00:00:00.776,96,0.0819
116,00:00:00.778,97,0.0096
117,00:00:00.782,98,0.0186
118,00:00:00.784,99,-0.0025
119,00:00:00.786,100,347.83
120,00:00:00.789,101,357.292
121,00:00:00.791,102,134.944
122,00:00:00.805,110,7.53403e-05
123,00:00:00.820,117,-0.9054
124,00:00:00.823,145,-0.007
125,00:00:00.826,118,-0.0284
126,00:00:00.827,119,-0.004
127,00:00:00.832,120,-0.0016
128,00:00:00.833,121,0.0024
129,00:00:00.841,134,264.0
130,00:00:00.846,133,3.48438
131,00:00:00.851,130,0.00147247
132,00:00:00.895,127,0.019165
133,00:00:00.904,115,99.0
134,00:00:00.910,107,0.0446777
135,00:00:00.921,111,-8.24928e-05
136,00:00:00.924,117,-0.9343
137,00:00:00.928,145,-0.0087
138,00:00:00.930,118,-0.028
139,00:00:00.933,119,-0.0018
140,00:00:00.935,120,0.0014
141,00:00:00.938,121,0.0006
142,00:00:00.952,95,-0.6677
143,00:00:00.954,96,0.8495
144,00:00:00.957,97,-0.0027
145,00:00:00.960,98,-0.0095
146,00:00:00.962,99,0.0118
147,00:00:00.965,100,343.681
148,00:00:00.968,101,354.585
149,00:00:00.970,102,134.437
150,00:00:00.984,114,356.0
151,00:00:00.988,112,-0.00113678
152,00:00:00.994,108,-0.949219
153,00:00:00.999,126,-0.0578613
154,00:00:01.530,109,-0.00119781
155,00:00:01.580,113,268.0
156,00:00:01.640,117,-0.9925
157,00:00:01.103,110,0.000379562
158,00:00:01.107,145,-0.0253
159,00:00:01.110,118,-0.0246
160,00:00:01.113,119,0.0027
161,00:00:01.116,120,-0.0022
162,00:00:01.118,121,-0.0006
163,00:00:01.127,131,-0.0116577
164,00:00:01.132,129,-0.00191498
165,00:00:01.136,132,179.0
166,00:00:01.141,128,-0.976562
167,00:00:01.159,95,0.271
168,00:00:01.162,96,1.1437
169,00:00:01.165,97,0.1388
170,00:00:01.167,98,0.0479
171,00:00:01.170,99,-0.0096
172,00:00:01.172,100,342.843
173,00:00:01.174,101,354.27
174,00:00:01.177,102,134.48
175,00:00:01.189,117,-0.9967
176,00:00:01.198,134,266.0
177,00:00:01.207,133,3.48438
178,00:00:01.216,115,99.0
179,00:00:01.230,130,0.00360107
180,00:00:01.240,127,0.0524902
181,00:00:01.258,111,0.000526428
182,00:00:01.285,145,-0.7283
183,00:00:01.288,118,-0.0569
184,00:00:01.291,119,0.0049
185,00:00:01.293,120,-0.1018
186,00:00:01.296,121,-0.0874
187,00:00:01.303,114,1.25781
188,00:00:01.308,112,-0.00174713
189,00:00:01.311,95,0.0131
190,00:00:01.314,96,0.9923
191,00:00:01.316,97,0.0022
192,00:00:01.318,98,-0.0044
193,00:00:01.320,99,-0.0007
194,00:00:01.323,100,345.147
195,00:00:01.325,101,354.454
196,00:00:01.327,102,134.415
197,00:00:01.333,126,-0.0576172
198,00:00:01.340,131,0.0090332
199,00:00:01.345,129,-0.00130463
200,00:00:01.351,108,-0.992188
201,00:00:01.356,109,0.00218201
202,00:00:01.361,107,-0.226562
203,00:00:01.364,117,-0.9711
204,00:00:01.389,132,179.0
205,00:00:01.394,128,-0.996094
206,00:00:01.403,110,-0.00358582
207,00:00:01.431,145,0.7558
208,00:00:01.433,118,-0.1
209,00:00:01.436,119,-0.0009
210,00:00:01.439,120,0.0026
211,00:00:01.442,121,-0.0122
212,00:00:01.452,115,98.5
213,00:00:01.471,95,0.4453
214,00:00:01.474,96,0.368
215,00:00:01.476,97,0.0047
216,00:00:01.478,98,0.0069
217,00:00:01.480,99,-0.0053
218,00:00:01.483,100,348.002
219,00:00:01.485,101,357.397
220,00:00:01.488,102,134.445
221,00:00:01.493,134,266.0
222,00:00:01.498,133,3.42188
223,00:00:01.503,130,-5.126e-05
224,00:00:01.508,113,268.0
225,00:00:01.519,111,0.000526428
226,00:00:01.525,117,-0.9972
227,00:00:01.543,127,-0.0139771
228,00:00:01.552,114,1.13281
229,00:00:01.556,112,-0.00234985
230,00:00:01.562,108,-0.941406
231,00:00:01.571,95,-0.0584
232,00:00:01.574,96,1.1015
233,00:00:01.577,97,-0.0088
234,00:00:01.579,98,-0.0065
235,00:00:01.581,99,0.0011
236,00:00:01.584,100,349.71
237,00:00:01.587,101,0.0688
238,00:00:01.589,102,134.712
239,00:00:01.592,145,0.2666
240,00:00:01.594,118,-0.0393
241,00:00:01.597,119,0.0006
242,00:00:01.599,120,-0.0047
243,00:00:01.601,121,0.0049
244,00:00:01.618,126,-0.0454102
245,00:00:01.639,131,0.00689697
246,00:00:01.643,129,0.019043
247,00:00:01.648,132,179.0
248,00:00:01.687,128,-0.992188
249,00:00:01.692,134,266.0
250,00:00:01.697,133,3.3125
251,00:00:01.706,130,0.00177765
252,00:00:01.717,110,-0.000534058
253,00:00:01.720,117,-1.0209
254,00:00:01.737,127,0.0055542
255,00:00:01.749,95,-0.1131
256,00:00:01.752,96,0.9787
257,00:00:01.754,97,0.0028
258,00:00:01.757,98,-0.0111
259,00:00:01.759,99,-0.0025
260,00:00:01.761,100,350.062
261,00:00:01.763,101,359.881
262,00:00:01.765,102,134.044
263,00:00:01.792,126,-0.00196838
264,00:00:01.802,131,-0.00466919
265,00:00:01.807,129,0.00204468
266,00:00:01.809,145,0.2336
267,00:00:01.812,118,-0.0275
268,00:00:01.815,119,-0.0024
269,00:00:01.817,120,0.0023
270,00:00:01.819,121,0.0012
271,00:00:01.825,115,98.0
272,00:00:01.831,109,-0.00576782
273,00:00:01.834,117,-1.0024
274,00:00:01.845,132,179.0
275,00:00:01.880,95,-0.1778
276,00:00:01.882,96,0.9694
277,00:00:01.884,97,-0.0008
278,00:00:01.887,98,-0.0083
279,00:00:01.890,99,-0.0022
280,00:00:01.892,100,350.299
281,00:00:01.894,101,359.478
282,00:00:01.897,102,133.294
283,00:00:01.903,107,0.691406
284,00:00:01.918,134,264.0
285,00:00:01.923,133,3.35938
286,00:00:01.927,130,-0.00248718
287,00:00:01.941,111,-0.001297
288,00:00:01.953,117,-0.9935
289,00:00:01.957,145,0.1037
290,00:00:01.960,118,-0.0222
291,00:00:01.963,119,-0.0024
292,00:00:01.965,120,-0.0001
293,00:00:01.968,121,0.0006
294,00:00:01.985,114,356.0
295,00:00:01.993,95,-0.125
296,00:00:02.600,96,0.9953
297,00:00:02.800,97,0.0047
298,00:00:02.110,98,0.0085
299,00:00:02.130,99,0.002
300,00:00:02.150,100,350.362
301,00:00:02.170,101,359.207
302,00:00:02.200,102,132.872
303,00:00:02.560,127,-0.00288391
304,00:00:02.600,128,-0.925781
305,00:00:02.640,112,-0.000225067
306,00:00:02.690,126,-0.0698242
307,00:00:02.106,108,-0.945312
308,00:00:02.110,117,-0.894
309,00:00:02.113,145,-0.0343
310,00:00:02.115,118,-0.0219
311,00:00:02.118,119,0.0076
312,00:00:02.120,120,-0.0044
313,00:00:02.122,121,-0.0015
314,00:00:02.128,131,-0.00224304
315,00:00:02.171,129,-0.00466919
316,00:00:02.177,132,179.0
317,00:00:02.184,134,264.0
318,00:00:02.188,95,0.067
319,00:00:02.193,96,1.5687
320,00:00:02.195,97,-0.0094
321,00:00:02.198,98,0.003
322,00:00:02.200,99,-0.0041
323,00:00:02.202,100,350.747
324,00:00:02.205,101,359.078
325,00:00:02.207,102,132.313
326,00:00:02.212,113,266.0
327,00:00:02.225,133,3.39062
328,00:00:02.230,130,-0.000659943
329,00:00:02.249,117,-0.9259
330,00:00:02.251,145,-0.0475
331,00:00:02.254,118,-0.0282
332,00:00:02.256,119,-0.0079
333,00:00:02.259,120,-0.001
334,00:00:02.261,121,-0.0009
335,00:00:02.267,110,0.00221252
336,00:00:02.274,127,-0.0568848
337,00:00:02.325,126,-0.0668945
338,00:00:02.355,95,0.3926
339,00:00:02.359,96,0.3524
340,00:00:02.362,97,0.0352
341,00:00:02.364,98,0.0054
342,00:00:02.371,99,-0.0022
343,00:00:02.373,100,351.446
344,00:00:02.375,101,359.142
345,00:00:02.378,102,132.185
346,00:00:02.419,131,0.00842285
347,00:00:02.424,129,-0.00650024
348,00:00:02.437,117,-1.0693
349,00:00:02.441,145,-0.0499
350,00:00:02.443,118,-0.0431
351,00:00:02.445,119,0.0
352,00:00:02.447,120,0.0091
353,00:00:02.451,121,-0.0031
354,00:00:02.462,115,91.5
355,00:00:02.468,109,-0.000720978
356,00:00:02.473,107,0.0415039
357,00:00:02.483,111,-8.2016e-05
358,00:00:02.491,132,179.0
359,00:00:02.494,95,0.4161
360,00:00:02.499,114,356.0
361,00:00:02.503,112,7.96318e-05
362,00:00:02.507,96,1.1697
363,00:00:02.509,97,-0.0011
364,00:00:02.511,98,-0.0071
365,00:00:02.514,99,-0.0016
366,00:00:02.516,100,353.571
367,00:00:02.519,101,2.0003
368,00:00:02.522,102,132.879
369,00:00:02.528,108,-0.949219
370,00:00:02.553,110,0.000379562
371,00:00:02.558,128,-0.925781
372,00:00:02.563,134,264.0
373,00:00:02.568,133,3.5
374,00:00:02.611,130,-0.00157166
375,00:00:02.623,117,-1.0039
376,00:00:02.628,145,-0.0157
377,00:00:02.631,118,-0.0142
378,00:00:02.633,119,0.0006
379,00:00:02.636,120,-0.0035
380,00:00:02.639,121,-0.0003
381,00:00:02.657,127,-0.00263977
382,00:00:02.676,113,268.0
383,00:00:02.681,95,-0.5715
384,00:00:02.683,96,0.956
385,00:00:02.686,97,-0.0286
386,00:00:02.688,98,-0.0401
387,00:00:02.690,99,0.0036
388,00:00:02.693,100,355.812
389,00:00:02.695,101,3.9834
390,00:00:02.697,102,133.321
391,00:00:02.704,126,-0.0571289
392,00:00:02.710,131,-0.000411987
393,00:00:02.722,111,0.00113678
394,00:00:02.727,114,356.0
395,00:00:02.732,112,-0.000225067
396,00:00:02.735,145,-0.0371
397,00:00:02.738,118,-0.0092
398,00:00:02.740,119,0.0021
399,00:00:02.742,120,-0.0019
400,00:00:02.745,121,0.0009
401,00:00:02.758,129,0.00112915
402,00:00:02.762,132,179.0
403,00:00:02.768,108,-0.953125
404,00:00:02.774,117,-0.9898
405,00:00:02.823,115,99.0
406,00:00:02.836,109,0.00582886
407,00:00:02.842,107,0.0407715
408,00:00:02.848,110,0.000379562
409,00:00:02.861,95,-0.6067
410,00:00:02.864,96,0.9024
411,00:00:02.867,97,-0.0045
412,00:00:02.869,98,-0.0047
413,00:00:02.872,99,0.013
414,00:00:02.874,100,352.093
415,00:00:02.877,101,0.6032
416,00:00:02.879,102,131.941
417,00:00:02.885,134,262.0
418,00:00:02.889,133,3.48438
419,00:00:02.894,130,0.00238037
420,00:00:02.904,127,0.0236816
421,00:00:02.912,117,-0.9859
422,00:00:02.914,145,-0.0188
423,00:00:02.917,118,-0.0188
424,00:00:02.919,119,-0.0006
425,00:00:02.922,120,-0.0038
426,00:00:02.924,121,-0.0006
427,00:00:02.948,128,-0.984375
428,00:00:02.968,126,-0.00393677
429,00:00:02.996,113,268.0
430,00:00:03.900,95,-0.1563
431,00:00:03.120,96,0.9758
432,00:00:03.140,97,0.0028
433,00:00:03.160,98,0.0011
434,00:00:03.190,99,-0.0016
435,00:00:03.210,100,351.146
436,00:00:03.240,101,359.498
437,00:00:03.260,102,131.803
438,00:00:03.310,131,0.00842285
439,00:00:03.360,129,-0.00708008
440,00:00:03.400,132,179.0
441,00:00:03.470,111,0.00296021
442,00:00:03.510,114,356.0
443,00:00:03.670,117,-1.0562
444,00:00:03.700,145,-0.0268
445,00:00:03.720,118,-0.0195
446,00:00:03.740,119,0.0009
447,00:00:03.780,120,0.0005
448,00:00:03.800,121,-0.0012
449,00:00:03.111,112,0.000385284
